,0,1,2
4218,1,0,0
10133,0,0,1
9230,0,0,1
79735,0,1,0
1994,1,0,0
3759,0,0,1
66008,0,1,0
121441,0,0,1
3313,1,0,0
8481,0,1,0
7514,0,0,1
2778,0,0,1
801,1,0,0
7534,0,0,1
3831,0,0,1
3799,0,1,0
64837,1,0,0
89953,0,0,1
7533,0,1,0
7529,0,0,1
10971,1,0,0
7532,0,1,0
5562,0,0,1
23557,0,0,1
2932,1,0,0
22983,0,0,1
9413,0,0,1
79649,0,1,0
1026,1,0,0
1059,0,0,1
10318,0,1,0
3800,0,0,1
3798,1,0,0
84062,0,1,0
222484,0,0,1
2931,0,0,1
10969,1,0,0
79734,0,0,1
84129,0,0,1
1562,0,1,0
1559,1,0,0
51295,0,0,1
84270,0,1,0
10651,0,0,1
5347,1,0,0
29110,0,1,0
1540,0,0,1
2314,0,0,1
2971,1,0,0
10617,0,0,1
26994,0,0,1
11140,0,1,0
140545,1,0,0
8737,0,0,1
4928,0,1,0
55288,0,0,1
22906,1,0,0
8887,0,1,0
3064,0,0,1
51588,0,0,1
5468,1,0,0
9545,0,0,1
153527,0,0,1
4354,0,1,0
23172,1,0,0
23095,0,0,1
91833,0,1,0
221937,0,0,1
9657,1,0,0
2353,0,1,0
8697,0,0,1
56648,0,0,1
51361,1,0,0
51019,0,0,1
27089,0,0,1
5565,0,1,0
5571,1,0,0
6168,0,0,1
81610,0,1,0
23239,0,0,1
8473,1,0,0
2561,0,1,0
283643,0,0,1
23499,0,0,1
6776,1,0,0
55719,0,0,1
8831,0,0,1
1982,0,1,0
91942,1,0,0
10313,0,0,1
51678,0,1,0
171017,0,0,1
5447,1,0,0
1576,0,1,0
26586,0,0,1
976,0,0,1
131405,1,0,0
1565,0,0,1
1557,0,0,1
10452,0,1,0
